	respondent,date,collectionpoint,form,question,answer
"1179657","2018-04-11 15:51:27","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1179657","2018-04-11 15:51:27","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Disagree"
"1179657","2018-04-11 15:51:27","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Strongly Disagree"
"1179657","2018-04-11 15:51:27","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Strongly Agree"
"1179657","2018-04-11 15:51:27","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Strongly Agree"
"1179657","2018-04-11 15:51:27","Free Speech","Free Speech","Free speech includes hate speech.","Strongly Agree"
"1179657","2018-04-11 15:51:27","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Strongly Agree"
"1179657","2018-04-11 15:51:27","Free Speech","Free Speech","Affirmative action is an unfair practice.","Neutral"
"1179657","2018-04-11 15:51:27","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Agree"
"1179657","2018-04-11 15:51:27","Free Speech","Free Speech","Immigration is bad for the US.","Strongly Disagree"
"1179689","2018-04-11 15:56:10","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1179689","2018-04-11 15:56:10","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Disagree"
"1179689","2018-04-11 15:56:10","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Disagree"
"1179689","2018-04-11 15:56:10","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Strongly Agree"
"1179689","2018-04-11 15:56:10","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Strongly Disagree"
"1179689","2018-04-11 15:56:10","Free Speech","Free Speech","Free speech includes hate speech.","Disagree"
"1179689","2018-04-11 15:56:10","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Strongly Disagree"
"1179689","2018-04-11 15:56:10","Free Speech","Free Speech","Affirmative action is an unfair practice.","Strongly Disagree"
"1179689","2018-04-11 15:56:10","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Neutral"
"1179689","2018-04-11 15:56:10","Free Speech","Free Speech","Immigration is bad for the US.","Strongly Disagree"
"1179689","2018-04-11 15:56:10","Free Speech","Free Speech","If you would like take a moment to share your opinion on free speech.",""
"1180202","2018-04-11 17:10:20","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1180202","2018-04-11 17:10:20","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Neutral"
"1180202","2018-04-11 17:10:20","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Strongly Disagree"
"1180202","2018-04-11 17:10:20","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Strongly Agree"
"1180202","2018-04-11 17:10:20","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Neutral"
"1180202","2018-04-11 17:10:20","Free Speech","Free Speech","Free speech includes hate speech.","Neutral"
"1180202","2018-04-11 17:10:20","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Neutral"
"1180202","2018-04-11 17:10:20","Free Speech","Free Speech","Affirmative action is an unfair practice.","Neutral"
"1180202","2018-04-11 17:10:20","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Neutral"
"1180202","2018-04-11 17:10:20","Free Speech","Free Speech","Immigration is bad for the US.","Neutral"
"1180227","2018-04-11 17:12:37","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1180227","2018-04-11 17:12:37","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Disagree"
"1180227","2018-04-11 17:12:37","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Agree"
"1180227","2018-04-11 17:12:37","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Strongly Agree"
"1180227","2018-04-11 17:12:37","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Strongly Agree"
"1180227","2018-04-11 17:12:37","Free Speech","Free Speech","Free speech includes hate speech.","Neutral"
"1180227","2018-04-11 17:12:37","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Disagree"
"1180227","2018-04-11 17:12:37","Free Speech","Free Speech","Affirmative action is an unfair practice.","Neutral"
"1180227","2018-04-11 17:12:37","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Disagree"
"1180227","2018-04-11 17:12:37","Free Speech","Free Speech","Immigration is bad for the US.","Agree"
"1180227","2018-04-11 17:12:37","Free Speech","Free Speech","If you would like take a moment to share your opinion on free speech.","It is not just students who judge you for a different opinion but it is teachers as well. Being slightly right winged I feel I have to adjust my personal views in order to appease most professors so they will not judge my paper or test with a distasteful taste in their mouth"
"1180569","2018-04-11 18:01:54","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1180569","2018-04-11 18:01:54","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Strongly Disagree"
"1180569","2018-04-11 18:01:54","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Agree"
"1180569","2018-04-11 18:01:54","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Agree"
"1180569","2018-04-11 18:01:54","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Agree"
"1180569","2018-04-11 18:01:54","Free Speech","Free Speech","Free speech includes hate speech.","Disagree"
"1180569","2018-04-11 18:01:54","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Disagree"
"1180569","2018-04-11 18:01:54","Free Speech","Free Speech","Affirmative action is an unfair practice.","Neutral"
"1180569","2018-04-11 18:01:54","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Agree"
"1180569","2018-04-11 18:01:54","Free Speech","Free Speech","Immigration is bad for the US.","Disagree"
"1180598","2018-04-11 18:06:52","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1180598","2018-04-11 18:06:52","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Neutral"
"1180598","2018-04-11 18:06:52","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Disagree"
"1180598","2018-04-11 18:06:52","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Agree"
"1180598","2018-04-11 18:06:52","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Agree"
"1180598","2018-04-11 18:06:52","Free Speech","Free Speech","Free speech includes hate speech.","Neutral"
"1180598","2018-04-11 18:06:52","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Disagree"
"1180598","2018-04-11 18:06:52","Free Speech","Free Speech","Affirmative action is an unfair practice.","Neutral"
"1180598","2018-04-11 18:06:52","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Strongly Agree"
"1180598","2018-04-11 18:06:52","Free Speech","Free Speech","Immigration is bad for the US.","Disagree"
"1180599","2018-04-11 18:07:42","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1180599","2018-04-11 18:07:42","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Neutral"
"1180599","2018-04-11 18:07:42","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Strongly Disagree"
"1180599","2018-04-11 18:07:42","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Strongly Agree"
"1180599","2018-04-11 18:07:42","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Disagree"
"1180599","2018-04-11 18:07:42","Free Speech","Free Speech","Free speech includes hate speech.","Strongly Agree"
"1180599","2018-04-11 18:07:42","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Neutral"
"1180599","2018-04-11 18:07:42","Free Speech","Free Speech","Affirmative action is an unfair practice.","Disagree"
"1180599","2018-04-11 18:07:42","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Agree"
"1180599","2018-04-11 18:07:42","Free Speech","Free Speech","Immigration is bad for the US.","Strongly Disagree"
"1180600","2018-04-11 18:07:44","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1180600","2018-04-11 18:07:44","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Strongly Disagree"
"1180600","2018-04-11 18:07:44","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Strongly Disagree"
"1180600","2018-04-11 18:07:44","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Agree"
"1180600","2018-04-11 18:07:44","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Neutral"
